// <0000> 
<0000> 

// <0001> 静流が倒れて病院に担ぎ込まれたと、ルチアから連絡があった。
<0001> 静流が倒れて病院に担ぎ込まれたと、ルチアから連絡があった。

// <0002> 風呂から出ていきなりの電話が、それだった。
<0002> 風呂から出ていきなりの電話が、それだった。

// <0003> ……きっと今頃、ルチアは自分を責めているだろう。
<0003> ……きっと今頃、ルチアは自分を責めているだろう。

// <0004> 恋愛について打ち明け合うくらい、気心の知れた二人だ。
<0004> 恋愛について打ち明け合うくらい、気心の知れた二人だ。

// <0005> 今頃、自分が幸せになったから、静流はそのしわ寄せで、不幸になってしまったのだろうと自分を責めているに違いない。
<0005> 今頃、自分が幸せになったから、静流はそのしわ寄せで、不幸になってしまったのだろうと自分を責めているに違いない。

// <0006> ……静流も気がかりだが、同じくらいに、ルチアも気がかりだった。
<0006> ……静流も気がかりだが、同じくらいに、ルチアも気がかりだった。

// <0007> 担ぎ込まれたのは、例のガーディアンの病院だった。
<0007> 担ぎ込まれたのは、例のガーディアンの病院だった。

// <0008> 表向きは普通の市民病院で、とても世界規模の秘密結社の息がかかってるとは思えない。
<0008> 表向きは普通の市民病院で、とても世界規模の秘密結社の息がかかってるとは思えない。

// <0009> ここには、例のサンタブローシアの一件以来、何度か検査とやらに呼び出されていた。
<0009> ここには、例のサンタブローシアの一件以来、何度か検査とやらに呼び出されていた。

// <0010> 西九条
<0010> 西九条

// <0011> 「天王寺君、こっちよ」
<0011> 「天王寺君、こっちよ」

// <0012> 瑚太朗
<0012> 瑚太朗

// <0013> 「西九条先生っ、静流はどうですか！」
<0013> 「西九条先生っ、静流はどうですか！」

// <0014> 西九条
<0014> 西九条

// <0015> 「安心して。とても幸運だったわ。彼女じゃなかったら死んでいた」
<0015> 「安心して。とても幸運だったわ。彼女じゃなかったら死んでいた」

// <0016> 静流は、ガラスの向こうの機械だらけの治療室のベッドで横になっていた。
<0016> 静流は、ガラスの向こうの機械だらけの治療室のベッドで横になっていた。

// <0017> 体に真っ赤な管が挿入され、物々しい機械と繋がっている。
<0017> 体に真っ赤な管が挿入され、物々しい機械と繋がっている。

// <0018> どう見ても、幸いな患者の処遇には見えなかった。
<0018> どう見ても、幸いな患者の処遇には見えなかった。

// <0019> 瑚太朗
<0019> 瑚太朗

// <0020> 「一体、静流に何があったんですか」
<0020> 「一体、静流に何があったんですか」

// <0021> 西九条
<0021> 西九条

