// <0000> 小鳥
<0000> 小鳥

// <0001> 「…瑚太朗君、瑚太朗君」
<0001> 「…瑚太朗君、瑚太朗君」

// <0002> 揺り起こされる。
<0002> 揺り起こされる。

// <0003> 瑚太朗
<0003> 瑚太朗

// <0004> 「ん…ここは？」
<0004> 「ん…ここは？」

// <0005> 自分の部屋のようだ。
<0005> 自分の部屋のようだ。

// <0006> 俺は日常に戻ってしまったのだろうか。
<0006> 俺は日常に戻ってしまったのだろうか。

// <0007> あるいは夢から覚めたか。
<0007> あるいは夢から覚めたか。

// <0008> 瑚太朗
<0008> 瑚太朗

// <0009> 「小鳥さんや、そろそろ学校かい…？」
<0009> 「小鳥さんや、そろそろ学校かい…？」

// <0010> 小鳥
<0010> 小鳥

// <0011> 「何言ってるさ」
<0011> 「何言ってるさ」

// <0012> 小鳥
<0012> 小鳥

// <0013> 「部活でしょ」
<0013> 「部活でしょ」

// <0014> 瑚太朗
<0014> 瑚太朗

// <0015> 「え？」
<0015> 「え？」

// <0016> 深夜だ。
<0016> 深夜だ。

// <0017> こんな時間に小鳥が起こしに来たことはない。
<0017> こんな時間に小鳥が起こしに来たことはない。

// <0018> そうだ、ここは永遠の夜。
<0018> そうだ、ここは永遠の夜。

// <0019> 俺たちは水面の月…
<0019> 俺たちは水面の月…

// <0020> 瑚太朗
<0020> 瑚太朗

// <0021> 「…じゃあ、小鳥？」
<0021> 「…じゃあ、小鳥？」

// <0022> 小鳥
<0022> 小鳥

// <0023> 「うん」
<0023> 「うん」

// <0024> 小鳥
<0024> 小鳥

// <0025> 「来たよ、瑚太朗君」
<0025> 「来たよ、瑚太朗君」

// <0026> 小鳥
<0026> 小鳥

// <0027> 「力になりに」
<0027> 「力になりに」

// <0028> 瑚太朗
<0028> 瑚太朗

// <0029> 「………」
<0029> 「………」

// <0030> ああ、そうなのだ。
<0030> ああ、そうなのだ。

// <0031> 俺はそんなことを望んだのだ。
<0031> 俺はそんなことを望んだのだ。

// <0032> かつての理想。
<0032> かつての理想。

// <0033> 達成されなかった結束。
<0033> 達成されなかった結束。

// <0034> そんなものを俺は、この大切な局面に引っぱりだして。
<0034> そんなものを俺は、この大切な局面に引っぱりだして。

// <0035> 思い出を貼り合わせて。
<0035> 思い出を貼り合わせて。

// <0036> 瑚太朗
<0036> 瑚太朗

// <0037> 「俺の願望に過ぎないものなのかな」
<0037> 「俺の願望に過ぎないものなのかな」

// <0038> 小鳥
<0038> 小鳥

// <0039> 「違うよ瑚太朗君」
<0039> 「違うよ瑚太朗君」

// <0040> 小鳥
<0040> 小鳥

// <0041> 「あたしはあたし。瑚太朗君と同じ」
<0041> 「あたしはあたし。瑚太朗君と同じ」

// <0042> 小鳥
<0042> 小鳥

// <0043> 「さあ、行こ。みんな待ってる」
<0043> 「さあ、行こ。みんな待ってる」

// <0044> 瑚太朗
<0044> 瑚太朗

// <0045> 「みんな…」
<0045> 「みんな…」

// <0046> 手を引かれて、俺はベッドをおりた。
<0046> 手を引かれて、俺はベッドをおりた。

// <0047> 自宅前には、ヤンキーがふたり待機していた。
<0047> 自宅前には、ヤンキーがふたり待機していた。

// <0048> 瑚太朗
<0048> 瑚太朗

// <0049> 「………」
<0049> 「………」

// <0050> 瑚太朗
<0050> 瑚太朗

// <0051> 「…そうだった」
<0051> 「…そうだった」

// <0052> こういうのもいた。
<0052> こういうのもいた。

// <0053> 戦いを通じて友情に目覚めた的な因縁で、強引にくくったらこんなのしかいなかった。
<0053> 戦いを通じて友情に目覚めた的な因縁で、強引にくくったらこんなのしかいなかった。

// <0054> どうせなら江坂さんやゲンさんとかが良かったが、縁をひろうことはできなかった。
<0054> どうせなら江坂さんやゲンさんとかが良かったが、縁をひろうことはできなかった。

// <0055> 世田谷区在住のＯＬ、浜田みち子さんと同様、語られなかった物語だ。
<0055> 世田谷区在住のＯＬ、浜田みち子さんと同様、語られなかった物語だ。

// <0056> バイアーン帯剣緑地騎士団のおっさんたちとも共闘した記憶があった。
<0056> バイアーン帯剣緑地騎士団のおっさんたちとも共闘した記憶があった。

// <0057> あのおっさんたちはすごい。全員が静流クラスの実力者だった。
<0057> あのおっさんたちはすごい。全員が静流クラスの実力者だった。

// <0058> その時の相手は…全ガイア、そして鍵。
