// <0000> 魔物使いの女性たちが、シートの上に何人も寝かせられていた。
<0000> 魔物使いの女性たちが、シートの上に何人も寝かせられていた。

// <0001> それを担架でひとりずつ、静かに運び出しているのだ。
<0001> それを担架でひとりずつ、静かに運び出しているのだ。

// <0002> 瑚太朗
<0002> 瑚太朗

// <0003> 「あれは…亡くなった人？」
<0003> 「あれは…亡くなった人？」

// <0004> 朱音
<0004> 朱音

// <0005> 「魔物を操って、命を使い果たした女たちよ」
<0005> 「魔物を操って、命を使い果たした女たちよ」

// <0006> 瑚太朗
<0006> 瑚太朗

// <0007> 「やっぱり…死ぬんですね」
<0007> 「やっぱり…死ぬんですね」

// <0008> 瑚太朗
<0008> 瑚太朗

// <0009> 「それじゃ、しまこも…？」
<0009> 「それじゃ、しまこも…？」

// <0010> 朱音
<0010> 朱音

// <0011> 「あの子はまだ平気だわ。突出した才能を持っているもの」
<0011> 「あの子はまだ平気だわ。突出した才能を持っているもの」

// <0012> 朱音
<0012> 朱音

// <0013> 「数日も養生すれば、回復するでしょうね」
<0013> 「数日も養生すれば、回復するでしょうね」

// <0014> 瑚太朗
<0014> 瑚太朗

// <0015> 「…」
<0015> 「…」

// <0016> 朱音
<0016> 朱音

// <0017> 「瑚太朗は、最低限の守るべき倫理はないのかと言ったわね」
<0017> 「瑚太朗は、最低限の守るべき倫理はないのかと言ったわね」

// <0018> 朱音
<0018> 朱音

// <0019> 「私たちにとって、倫理とは星の摂理のことだわ」
<0019> 「私たちにとって、倫理とは星の摂理のことだわ」

// <0020> 瑚太朗
<0020> 瑚太朗

// <0021> 「星の摂理？」
<0021> 「星の摂理？」

// <0022> 朱音
<0022> 朱音

// <0023> 「人が正しいのか、誤っているのか」
<0023> 「人が正しいのか、誤っているのか」

// <0024> 朱音
<0024> 朱音

// <0025> 「鍵だけがその判定を下してくれる…星の摂理である鍵だけが」
<0025> 「鍵だけがその判定を下してくれる…星の摂理である鍵だけが」

// <0026> 瑚太朗
<0026> 瑚太朗

// <0027> 「…やっぱり鍵は、人を滅ぼすんですね」
<0027> 「…やっぱり鍵は、人を滅ぼすんですね」

// <0028> 朱音は俺の目を正面から見据えた。
<0028> 朱音は俺の目を正面から見据えた。

// <0029> 朱音
<0029> 朱音

// <0030> 「人が誤っているならね」
<0030> 「人が誤っているならね」

// <0031> 瑚太朗
<0031> 瑚太朗

// <0032> 「そんなの…納得できないでしょ」
<0032> 「そんなの…納得できないでしょ」

// <0033> 朱音
<0033> 朱音

// <0034> 「じゃあ生き残るために罪のない鍵を、あらかじめ殺しておく？」
<0034> 「じゃあ生き残るために罪のない鍵を、あらかじめ殺しておく？」

// <0035> 瑚太朗
<0035> 瑚太朗

// <0036> 「…」
<0036> 「…」

// <0037> 朱音
<0037> 朱音

// <0038> 「それを正当化したのが、ガーディアンよ」
<0038> 「それを正当化したのが、ガーディアンよ」

// <0039> 朱音
<0039> 朱音

// <0040> 「今の人類は正しい。自分たちが成功者として存在していけるのだから、正しい。だからそれを揺るがすものは存在も認めない」
<0040> 「今の人類は正しい。自分たちが成功者として存在していけるのだから、正しい。だからそれを揺るがすものは存在も認めない」

// <0041> 朱音
<0041> 朱音

// <0042> 「彼らと、彼らを崇める者たちの理屈よ」
<0042> 「彼らと、彼らを崇める者たちの理屈よ」

// <0043> 瑚太朗
<0043> 瑚太朗

// <0044> 「ガイアはどうなんです？　むざむざ滅ぼされるのを黙って見ていると？」
<0044> 「ガイアはどうなんです？　むざむざ滅ぼされるのを黙って見ていると？」

// <0045> 朱音
<0045> 朱音

// <0046> 「そうならないよう、歩んでいけばいい…というのが私たちの考えね」
<0046> 「そうならないよう、歩んでいけばいい…というのが私たちの考えね」

// <0047> 朱音
<0047> 朱音

// <0048> 「人は変われると思う？」
<0048> 「人は変われると思う？」

// <0049> 瑚太朗
<0049> 瑚太朗

// <0050> 「それは努力すれば…変われますよ」
